Timestamp,Ax,Ay,Az,P,Q,R,Phi,Theta,Psi,PosX,PosY,PosZ
10414,5.17744,-16.7711,-25.6536,0.00434155,0.0174069,-0.0112412,0.133185,-0.0841026,0.0232298,0,0,0
10507,13.2941,1.89886,-3.99282,0.0124443,0.0800786,-0.0304547,0.143075,-0.0754013,0.0202773,0,0,0
10606,16.1982,8.12708,-18.9432,0.0472779,-0.078543,-0.0504083,0.14778,-0.0784143,0.0191618,0,0,0
10706,19.5821,-13.7938,-15.259,-0.00801496,-0.0503735,0.0569725,0.13678,-0.0909551,0.018492,0,0,0
10809,7.33562,6.09455,-0.188986,0.0707291,0.00916556,-0.0184017,0.124519,-0.0717595,0.0215691,0,0,0
10901,14.0216,10.5429,-16.5799,-0.0736253,-0.0766573,-0.0476079,0.114968,-0.0659405,0.0174141,0,0,0
10998,6.80334,18.5998,-24.4951,-0.036231,-0.080895,-0.0866206,0.114583,-0.0624665,0.0147551,0,0,0
11100,-2.1154,5.70879,-21.1381,-0.0421191,0.0480049,0.0867378,0.104517,-0.0596137,0.0208453,0,0,0
11190,3.52074,8.57387,-2.33749,-0.0366197,0.0641549,0.0212925,0.116276,-0.0496483,0.0219658,0,0,0
11288,-19.6526,-11.7405,-7.96144,0.0711923,0.0545153,-0.0474536,0.108914,-0.0705599,0.0208576,-10.1659,-0.101967,-5.32905
11389,-12.0242,5.96149,1.66898,0.025099,0.0421894,-0.00033806,0.0812219,-0.0811456,0.0238086,0,0,0
11495,-18.6211,5.17167,-12.4977,0.0554126,-0.0395044,0.0147495,0.0721786,-0.0825071,0.0273618,0,0,0
11591,-5.40904,-18.2543,-23.543,-0.0528093,-0.0655341,-0.0640851,0.0929644,-0.0818204,0.0232638,0,0,0
11711,-11.6702,18.3959,4.27282,-0.012833,0.008504,-0.0259827,0.0862053,-0.0935789,0.0272213,0,0,0
11827,13.5295,-17.5011,2.08281,-0.0627754,0.0582048,0.0866366,0.0993371,-0.0967298,0.0266627,-9.83144,-0.0829452,-5.57056
11921,5.97065,7.73034,-22.1062,0.0266855,0.00249853,-0.0262223,0.0939214,-0.0944769,0.0300403,0,0,0
12027,7.65648,-17.3046,-18.8321,0.0307635,0.0858467,-0.0506052,0.107658,-0.0835342,0.0294807,0,0,0
12126,1.53202,6.48152,-9.69611,0.034964,0.0093404,-0.0281602,0.0997291,-0.095465,0.0306698,0,0,0
12239,-12.5688,-1.73528,-12.4452,-0.0205312,0.0554563,-0.0169802,0.0874816,-0.0757393,0.0310305,0,0,0
